symbol,coupon_rate,sector,industry,company_name,month_3_aver_vol
GSL-PB,8.75,Commercial Services,Miscellaneous Commercial Services,"Global Ship Lease, Inc.",14870
GSLD,8.0,Commercial Services,Miscellaneous Commercial Services,"Global Ship Lease, Inc.",37540
NEWTI,6.25,Commercial Services,Miscellaneous Commercial Services,Newtek Business Services Corp.,4880
NEWTL,5.75,Commercial Services,Miscellaneous Commercial Services,Newtek Business Services Corp.,9783
TBC,5.625,Communications,Major Telecommunications,"AT&T, Inc.",117087
TBB,5.35,Communications,Major Telecommunications,"AT&T, Inc.",140811
T-PA,5.0,Communications,Major Telecommunications,"AT&T, Inc.",466806
T-PC,4.75,Communications,Major Telecommunications,"AT&T, Inc.",1237276
CBB-PB,6.75,Communications,Specialty Telecommunications,"Cincinnati Bell, Inc.",11797
CTAA,7.0,Communications,Specialty Telecommunications,Qwest Corp.,24221
CTV,6.875,Communications,Specialty Telecommunications,Qwest Corp.,75828
CTDD,6.75,Communications,Specialty Telecommunications,Qwest Corp.,61370
CTZ,6.625,Communications,Specialty Telecommunications,Qwest Corp.,41107
CTBB,6.5,Communications,Specialty Telecommunications,Qwest Corp.,149016
CTY,6.125,Communications,Specialty Telecommunications,Qwest Corp.,82711
TDJ,7.0,Communications,Wireless Telecommunications,"Telephone & Data Systems, Inc.",29863
TDE,6.875,Communications,Wireless Telecommunications,"Telephone & Data Systems, Inc.",21161
TDI,6.625,Communications,Wireless Telecommunications,"Telephone & Data Systems, Inc.",9420
TDA,5.875,Communications,Wireless Telecommunications,"Telephone & Data Systems, Inc.",17944
UZB,7.25,Communications,Wireless Telecommunications,United States Cellular Corp.,25227
UZC,7.25,Communications,Wireless Telecommunications,United States Cellular Corp.,26461
UZA,6.95,Communications,Wireless Telecommunications,United States Cellular Corp.,31868
HOVNP,7.625,Consumer Durables,Homebuilding,"Hovnanian Enterprises, Inc.",5157
F-PB,6.2,Consumer Durables,Motor Vehicles,Ford Motor Co.,211218
F-PC,6.0,Consumer Durables,Motor Vehicles,Ford Motor Co.,277324
BC-PB,6.625,Consumer Durables,Recreational Products,Brunswick Corp.,29358
BC-PA,6.5,Consumer Durables,Recreational Products,Brunswick Corp.,37576
BC-PC,6.375,Consumer Durables,Recreational Products,Brunswick Corp.,51210
SWP,5.375,Consumer Durables,Tools & Hardware,"Stanley Black & Decker, Inc.",90066
SWT,5.25,Consumer Durables,Tools & Hardware,"Stanley Black & Decker, Inc.",131803
WVVIP,5.3,Consumer Non-Durables,Beverages: Alcoholic,"Willamette Valley Vineyards, Inc.",715
ENR-PA,7.5,Consumer Non-Durables,Household/Personal Care,"Energizer Holdings, Inc.",24285
IFFT,6.0,Consumer Non-Durables,Household/Personal Care,"International Flavors & Fragrances, Inc.",118984
CSSEP,9.75,Consumer Services,Movies/Entertainment,"Chicken Soup for the Soul Entertainment, Inc.",10419
DS-PB,9.75,Consumer Services,Movies/Entertainment,"Drive Shack, Inc.",6711
DS-PD,8.375,Consumer Services,Movies/Entertainment,"Drive Shack, Inc.",2111
DS-PC,8.05,Consumer Services,Movies/Entertainment,"Drive Shack, Inc.",3016
TANNI,8.25,Consumer Services,Other Consumer Services,"TravelCenters of America, Inc.",16195
TANNZ,8.0,Consumer Services,Other Consumer Services,"TravelCenters of America, Inc.",10297
TANNL,8.0,Consumer Services,Other Consumer Services,"TravelCenters of America, Inc.",14405
YCBD-PA,8.0,Consumer Services,Other Consumer Services,"cbdMD, Inc.",3066
EBAYL,6.0,Consumer Services,Other Consumer Services,"eBay, Inc.",78006
GFNCP,9.0,Distribution Services,Wholesale Distributors,General Finance Corp.,1270
GFNSL,8.125,Distribution Services,Wholesale Distributors,General Finance Corp.,4508
GLP-PA,9.75,Distribution Services,Wholesale Distributors,Global Partners LP,12216
CETXP,10.0,Electronic Technology,Electronic Equipment/Instruments,"Cemtrex, Inc.",10957
AVGOP,8.0,Electronic Technology,Semiconductors,"Broadcom, Inc.",21264
CHK-PD,4.5,Energy Minerals,Oil & Gas Production,Chesapeake Energy Corp.,28788
NGLS-PA,9.0,Energy Minerals,Oil & Gas Production,Targa Resources Partners LP,40708
NS-PC,9.0,Energy Minerals,Oil Refining/Marketing,NuStar Energy LP,43840
NS-PA,8.5,Energy Minerals,Oil Refining/Marketing,NuStar Energy LP,60720
NS-PB,7.625,Energy Minerals,Oil Refining/Marketing,NuStar Energy LP,94585
AEFC,5.1,Finance,Finance/Rental/Leasing,Aegon Funding Co. LLC,176853
AL-PA,6.15,Finance,Finance/Rental/Leasing,Air Lease Corp.,36067
ASRVP,8.45,Finance,Finance/Rental/Leasing,AmeriServ Financial Capital Trust I,1194
BANFP,7.2,Finance,Finance/Rental/Leasing,BFC Capital Trust II,1305
GYC,0.0,Finance,Finance/Rental/Leasing,CABCO Series 2004-102 Trust,2204
PFH,7.625,Finance,Finance/Rental/Leasing,CABCO Trust for JC Penney Debentures,7129
CAI-PA,8.5,Finance,Finance/Rental/Leasing,"CAI International, Inc.",9788
CAI-PB,8.5,Finance,Finance/Rental/Leasing,"CAI International, Inc.",10466
C-PN,7.875,Finance,Finance/Rental/Leasing,Citigroup Capital XIII,290825
KTN,8.205,Finance,Finance/Rental/Leasing,Corporate Backed Trust Certificates,3166
KTP,7.625,Finance,Finance/Rental/Leasing,Corporate Backed Trust Certificates,18686
KTH,0.0,Finance,Finance/Rental/Leasing,Corporate Backed Trust Certificates,1544
DXB,6.55,Finance,Finance/Rental/Leasing,Deutsche Bank Contingent Capital Trust II,169158
DDT,7.5,Finance,Finance/Rental/Leasing,Dillards Capital Trust I,27521
EP-PC,4.75,Finance,Finance/Rental/Leasing,El Paso Energy Capital Trust I,0
AGM-PC,6.0,Finance,Finance/Rental/Leasing,Federal Agricultural Mortgage Corp.,5531
AGM-PA,5.875,Finance,Finance/Rental/Leasing,Federal Agricultural Mortgage Corp.,3768
AGM-PD,5.7,Finance,Finance/Rental/Leasing,Federal Agricultural Mortgage Corp.,13285
GMTA,5.625,Finance,Finance/Rental/Leasing,GATX Corp.,14911
ALLY-PA,8.125,Finance,Finance/Rental/Leasing,Gmac Capital Trust I,462456
HJV,7.0,Finance,Finance/Rental/Leasing,MS Structured SATURNS Series 2007-1,7069
NRUC,5.5,Finance,Finance/Rental/Leasing,National Rural Utilities Cooperative Finance Corp.,26462
JSM,6.0,Finance,Finance/Rental/Leasing,Navient Corp.,29604
NEE-PN,5.65,Finance,Finance/Rental/Leasing,"NextEra Energy Capital Holdings, Inc.",151771
NEE-PK,5.25,Finance,Finance/Rental/Leasing,"NextEra Energy Capital Holdings, Inc.",51135
NEE-PI,5.125,Finance,Finance/Rental/Leasing,"NextEra Energy Capital Holdings, Inc.",71365
NEE-PJ,5.0,Finance,Finance/Rental/Leasing,"NextEra Energy Capital Holdings, Inc.",75462
